index;nom_chaine;tvg_id_original;tvg_id_final;methode;groupe;logo
37;FR | CANAL+ DOCS FHD;canalplusdocs.fr;canalplusdocs.fr;original;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/CANAL+_DOCS.png
38;FR | CANAL+ GRAND ECRAN FHD;canalplusgrandecran.fr;canalplusgrandecran.fr;original;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/CANAL+_GRAND_ECRAN.png
39;FR | CANAL+ BOX OFFICE FHD;CanalPlusBoxOffice.fr;CanalPlusBoxOffice.fr;original;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/beinboxoffice.png
40;▼●★ --- ||FR|| ORANGE CINEMA ||FR|| --- ★●▼;;;unmapped;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/FLAG_FRANCE.png
41;FR | OCS GO PREMIERE FHD;;;unmapped;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/ocs.png
42;FR | OCS GO SIGNATURE FHD;;;unmapped;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/ocs.png
43;FR | OCS GO US +24 FHD;;;unmapped;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/ocs.png
44;FR | ORANGE PREMIUM;;;unmapped;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/orangetv.png
45;FR | ORANGE CLUB FHD;;;unmapped;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/orangetv.png
46;FR | ORANGE STUDIO FHD;;;unmapped;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/orangetv.png
47;FR | ORANGE LA UNE FHD;;;unmapped;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/orangetv.png
48;FR | ORANGE LA DEUX FHD;;;unmapped;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/orangetv.png
49;FR | ORANGE ACTION FHD;;;unmapped;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/orangetv.png
50;FR | ORANGE SERIES FHD;;;unmapped;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/orangetv.png
51;▼●★ --- |FR| CINÉMA |FR| --- ★●▼;;;unmapped;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/FLAG_FRANCE.png
52;FR | CINE+ OCS HD;cineplusocs.fr;cineplusocs.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/CINE+_OCS.png
53;FR | CINE+ OCS SD;cineplusocs.fr;cineplusocs.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/CINE+_OCS.png
54;FR | CINE+ FRISSON FHD;CinePlusFrisson.fr;CinePlusFrisson.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/CINE+_FRISSON_FHD+.png
55;FR | CINE+ FRISSON HD;CinePlusFrisson.ch;CinePlusFrisson.ch;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CINE+_FRISSON.png
56;FR | CINE+ FRISSON SD;cineplusfrisson.fr;cineplusfrisson.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CINE+_FRISSON_SD.png
57;FR | CINE+ EMOTION FHD;CinePlusEmotion.fr;CinePlusEmotion.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/CINE+_EMOTION.png
58;FR | CINE+ EMOTION HD;CinePlusEmotion.fr;CinePlusEmotion.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CINE+_EMOTION.png
59;FR | CINE+ EMOTION SD;cineplusemotion.fr;cineplusemotion.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CINE+_EMOTION_SD.png
60;FR | CINE+ PREMIER FHD;CinePlusPremier.be;CinePlusPremier.be;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/CINE+_PREMIER.png
61;FR | CINE+ PREMIER HD;CinePlusPremier.be;CinePlusPremier.be;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CINE+_PREMIER.png
62;FR | CINE+ PREMIER SD;cinepluspremier.fr;cinepluspremier.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CINE+_PREMIER.png
63;FR | CINE+ FAMIZ FHD;cineplusamiz.fr;cineplusamiz.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/CINE+_FAMIZ.png
64;FR | CINE+ FAMIZ SD;cineplusamiz.fr;cineplusamiz.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CINE+_FAMIZ.png
65;FR | CINE+ FESTIVAL HD FHD;CinePlusClub.fr;CinePlusClub.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/CINE+_FESTIVAL.png
66;FR | CINE+ FESTIVAL SD;CinePlusClub.fr;CinePlusClub.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/CINE+_FESTIVAL.png
67;FR | CINE+  CLASSIC FHD;CinePlusClassic.fr;CinePlusClassic.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/CINE+_CLASSIC.png
68;FR | CINE+ CLASSIC HD;CinePlusClassic.fr;CinePlusClassic.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CINE+_CLASSIC.png
69;FR | CINE+  CLASSIC SD;cineplusclassic.fr;cineplusclassic.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CINE+_CLASSIC_SD.png
70;FR | CINE+ CLUB FHD;cineplusclub.fr;cineplusclub.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/
71;FR | CINE+ CLUB HD;cineplusclub.fr;cineplusclub.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_HD/
72;FR | CINE+ CLUB SD;cineplusclub.fr;cineplusclub.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_HD/
73;FR | WARNER TV FHD;WarnerTV.fr;WarnerTV.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/WARNER_TV.png
74;FR | WARNER TV SD;warnertv.fr;warnertv.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_HD/WARNER_TV_SD.png
75;FR | NOVELAS TV FHD;NovelasTV.fr;NovelasTV.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/NOVELAS_TV.png
76;FR | NOVELAS TV HD;NovelasTV.fr;NovelasTV.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_HD/NOVELAS_TV.png
77;FR | NOVELAS TV SD;novelastv.fr;novelastv.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_HD/NOVELAS_TV_SD.png
78;FR | POLAR+ FHD;polarplus.fr;polarplus.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/POLAR+.png
79;FR | POLAR+ HD;polarplus.fr;polarplus.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_HD/POLAR+.png
80;FR | POLAR  SD;polarplus.fr;polarplus.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_HD/POLAR+_SD.png
81;FR | CRIME DISTRICT FHD;CrimeDistrict.fr;CrimeDistrict.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/CRIME_DISTRICT.png
82;FR | CRIME DISTRICT HD;CrimeDistrict.fr;CrimeDistrict.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CRIME_DISTRICT.png
83;FR | CRIME DISTRICT SD;CrimeDistrict.fr;CrimeDistrict.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CRIME_DISTRICT_SD.png
84;FR | ACTION FHD;Action.fr;Action.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/ACTION.png
85;FR | ACTION HD;Action.fr;Action.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_HD/ACTION.png
86;FR | ACTION SD;action.fr;action.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_HD/ACTION_SD.png
87;FR | TCM CINEMA FHD;tcm.fr;tcm.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/TCM_CINEMA.png
88;FR | TCM CINEMA HD;TCM.fr;TCM.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_HD/TCM_CINEMA.png
89;FR | TCM CINEMA SD;tmc.fr;tmc.fr;original;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_HD/TCM_CINEMA_SD.png
